subjects,S,condition,R,rt
1,left,hangover,right,0.345127838
1,right,intoxicated,right,0.250334055
1,left,intoxicated,left,0.476766693
1,left,hangover,left,0.194496995
1,left,hangover,right,0.190204168
1,right,hangover,right,0.205470091
1,left,intoxicated,left,0.283910386
1,left,intoxicated,left,0.347984208
1,right,hangover,right,0.282438641
1,left,hangover,left,0.324055802
1,left,intoxicated,left,0.194547873
1,left,intoxicated,left,0.352666982
1,right,hangover,left,0.231163321
1,right,hangover,right,0.195935498
1,left,hangover,right,0.223622214
1,left,hangover,left,0.33994859
1,left,intoxicated,left,0.302632195
1,left,hangover,right,0.369615865
1,left,hangover,right,0.230040005
1,right,hangover,right,0.184987981
1,right,hangover,right,0.287120032
1,left,intoxicated,left,0.291655883
1,right,hangover,left,0.370702772
1,right,intoxicated,right,0.215173458
1,right,hangover,left,0.234489341
1,right,intoxicated,right,0.233054948
1,left,intoxicated,left,0.196560731
1,left,hangover,left,0.350272347
1,right,hangover,right,0.537149762
1,left,intoxicated,right,0.203982385
1,right,intoxicated,right,0.269430154
1,right,intoxicated,right,0.282285585
1,left,intoxicated,right,0.301150924
1,right,intoxicated,right,0.194423672
1,right,hangover,left,0.242405235
1,left,intoxicated,left,0.209583884
1,left,intoxicated,left,0.28735802
1,left,intoxicated,left,0.399486446
1,right,intoxicated,right,0.214418723
1,left,intoxicated,left,0.25464334
1,left,hangover,left,0.234032416
1,left,hangover,left,0.362631541
1,right,intoxicated,right,0.454065001
1,right,hangover,left,0.327130378
1,left,hangover,right,0.225563976
1,left,hangover,left,0.273483904
1,left,intoxicated,left,0.332155171
1,right,intoxicated,right,0.345065369
1,left,hangover,left,0.427964051
1,right,hangover,right,0.284272055
1,left,hangover,left,0.589086454
1,right,hangover,left,0.30856837
1,right,intoxicated,left,0.20793002
1,left,intoxicated,left,0.227950017
1,right,intoxicated,right,0.328551874
1,right,hangover,left,0.254888243
1,right,hangover,right,0.279101971
1,right,intoxicated,right,0.357204213
1,left,intoxicated,left,0.240060572
1,right,intoxicated,left,0.248669491
1,right,intoxicated,right,0.221019688
1,right,intoxicated,right,0.220195603
1,left,hangover,left,0.177023203
1,right,hangover,left,0.414029129
1,left,hangover,right,0.21946797
1,right,hangover,left,0.291439808
1,left,hangover,right,0.259234332
1,right,intoxicated,right,0.567312266
1,left,hangover,right,0.236950093
1,left,hangover,left,0.292619778
1,right,intoxicated,right,0.289393155
1,right,intoxicated,right,0.217982797
1,right,intoxicated,right,0.208222086
1,left,intoxicated,left,0.224805317
1,left,intoxicated,left,0.212541683
1,right,intoxicated,right,0.178229412
1,left,intoxicated,left,0.26981266
1,right,hangover,left,0.385181512
1,right,hangover,left,0.204049065
1,left,hangover,left,0.302613818
1,left,intoxicated,left,0.234663423
1,right,intoxicated,right,0.238774424
1,left,hangover,left,0.208590174
1,left,intoxicated,right,0.19415067
1,right,intoxicated,right,0.229040894
1,left,hangover,right,0.355073108
1,left,intoxicated,right,0.27199139
1,right,hangover,right,0.438379429
1,right,hangover,right,0.23102076
1,right,intoxicated,right,0.205088012
1,right,intoxicated,left,0.191963743
1,left,hangover,left,0.234858165
1,left,intoxicated,left,0.412771015
1,right,hangover,right,0.212398401
1,left,intoxicated,left,0.229853563
1,right,intoxicated,right,0.227951834
1,right,intoxicated,right,0.222990822
1,right,intoxicated,left,0.282710484
1,left,intoxicated,left,0.273684023
1,left,hangover,right,0.228937596
1,right,hangover,left,0.404335375
1,left,hangover,left,0.181169861
1,right,hangover,left,0.289359769
1,right,intoxicated,right,0.261563646
1,right,intoxicated,left,0.324018467
1,left,intoxicated,left,0.215637441
1,right,intoxicated,right,0.33625609
1,right,intoxicated,right,0.305289402
1,right,intoxicated,right,0.295934495
1,right,intoxicated,right,0.438300192
1,left,hangover,left,0.263150274
1,left,intoxicated,left,0.335502539
1,left,intoxicated,left,0.679253013
1,right,intoxicated,right,0.315415675
1,right,hangover,left,0.322784738
1,left,hangover,right,0.372818197
1,right,hangover,right,0.207995733
1,right,intoxicated,right,0.388984714
1,right,hangover,left,0.233047038
1,left,intoxicated,right,0.319636546
1,right,intoxicated,left,0.269030407
1,left,intoxicated,left,0.271933391
1,right,intoxicated,right,0.308489764
1,right,hangover,right,0.25865091
1,left,intoxicated,left,0.533941096
1,left,intoxicated,left,0.224544578
1,left,intoxicated,right,0.201727821
1,left,intoxicated,right,0.21503807
1,left,hangover,left,0.282536596
1,left,intoxicated,right,0.222466632
1,left,hangover,left,0.20087171
1,right,hangover,right,0.200962858
1,left,hangover,right,0.341788379
1,right,hangover,right,0.358286202
1,left,hangover,right,0.383735359
1,left,intoxicated,left,0.317484958
1,right,hangover,right,0.27776512
1,left,intoxicated,left,0.302719266
1,left,intoxicated,left,0.492966569
1,left,hangover,left,0.378600578
1,left,hangover,right,0.462319909
1,right,intoxicated,left,0.591991966
1,left,hangover,left,0.236584344
1,right,hangover,left,0.23404572
1,right,hangover,left,0.360030899
1,left,intoxicated,right,0.662633547
1,left,hangover,right,0.224887911
1,left,hangover,left,0.427205177
1,right,hangover,right,0.204599948
1,right,hangover,right,0.475709277
1,left,intoxicated,left,0.339220427
1,right,intoxicated,right,0.193279421
1,left,intoxicated,right,0.352699125
1,right,intoxicated,right,0.21638012
1,left,intoxicated,left,0.35680331
1,left,intoxicated,left,0.211516035
1,right,intoxicated,right,0.211318142
1,left,intoxicated,left,0.197392009
1,left,intoxicated,left,0.20824694
1,right,hangover,right,0.221554348
1,left,intoxicated,right,0.21291206
