subjects,S,condition,R,rt,correct
1,right,intoxicated,right,0.250334055,1
1,left,intoxicated,left,0.476766693,1
1,left,intoxicated,left,0.283910386,1
1,left,intoxicated,left,0.347984208,1
1,left,intoxicated,left,0.194547873,1
1,left,intoxicated,left,0.352666982,1
1,left,intoxicated,left,0.302632195,1
1,left,intoxicated,left,0.291655883,1
1,right,intoxicated,right,0.215173458,1
1,right,intoxicated,right,0.233054948,1
1,left,intoxicated,left,0.196560731,1
1,left,intoxicated,right,0.203982385,0
1,right,intoxicated,right,0.269430154,1
1,right,intoxicated,right,0.282285585,1
1,left,intoxicated,right,0.301150924,0
1,right,intoxicated,right,0.194423672,1
1,left,intoxicated,left,0.209583884,1
1,left,intoxicated,left,0.28735802,1
1,left,intoxicated,left,0.399486446,1
1,right,intoxicated,right,0.214418723,1
1,left,intoxicated,left,0.25464334,1
1,right,intoxicated,right,0.454065001,1
1,left,intoxicated,left,0.332155171,1
1,right,intoxicated,right,0.345065369,1
1,right,intoxicated,left,0.20793002,0
1,left,intoxicated,left,0.227950017,1
1,right,intoxicated,right,0.328551874,1
1,right,intoxicated,right,0.357204213,1
1,left,intoxicated,left,0.240060572,1
1,right,intoxicated,left,0.248669491,0
1,right,intoxicated,right,0.221019688,1
1,right,intoxicated,right,0.220195603,1
1,right,intoxicated,right,0.567312266,1
1,right,intoxicated,right,0.289393155,1
1,right,intoxicated,right,0.217982797,1
1,right,intoxicated,right,0.208222086,1
1,left,intoxicated,left,0.224805317,1
1,left,intoxicated,left,0.212541683,1
1,right,intoxicated,right,0.178229412,1
1,left,intoxicated,left,0.26981266,1
1,left,intoxicated,left,0.234663423,1
1,right,intoxicated,right,0.238774424,1
1,left,intoxicated,right,0.19415067,0
1,right,intoxicated,right,0.229040894,1
1,left,intoxicated,right,0.27199139,0
1,right,intoxicated,right,0.205088012,1
1,right,intoxicated,left,0.191963743,0
1,left,intoxicated,left,0.412771015,1
1,left,intoxicated,left,0.229853563,1
1,right,intoxicated,right,0.227951834,1
1,right,intoxicated,right,0.222990822,1
1,right,intoxicated,left,0.282710484,0
1,left,intoxicated,left,0.273684023,1
1,right,intoxicated,right,0.261563646,1
1,right,intoxicated,left,0.324018467,0
1,left,intoxicated,left,0.215637441,1
1,right,intoxicated,right,0.33625609,1
1,right,intoxicated,right,0.305289402,1
1,right,intoxicated,right,0.295934495,1
1,right,intoxicated,right,0.438300192,1
1,left,intoxicated,left,0.335502539,1
1,left,intoxicated,left,0.679253013,1
1,right,intoxicated,right,0.315415675,1
1,right,intoxicated,right,0.388984714,1
1,left,intoxicated,right,0.319636546,0
1,right,intoxicated,left,0.269030407,0
1,left,intoxicated,left,0.271933391,1
1,right,intoxicated,right,0.308489764,1
1,left,intoxicated,left,0.533941096,1
1,left,intoxicated,left,0.224544578,1
1,left,intoxicated,right,0.201727821,0
1,left,intoxicated,right,0.21503807,0
1,left,intoxicated,right,0.222466632,0
1,left,intoxicated,left,0.317484958,1
1,left,intoxicated,left,0.302719266,1
1,left,intoxicated,left,0.492966569,1
1,right,intoxicated,left,0.591991966,0
1,left,intoxicated,right,0.662633547,0
1,left,intoxicated,left,0.339220427,1
1,right,intoxicated,right,0.193279421,1
1,left,intoxicated,right,0.352699125,0
1,right,intoxicated,right,0.21638012,1
1,left,intoxicated,left,0.35680331,1
1,left,intoxicated,left,0.211516035,1
1,right,intoxicated,right,0.211318142,1
1,left,intoxicated,left,0.197392009,1
1,left,intoxicated,left,0.20824694,1
1,left,intoxicated,right,0.21291206,0
1,left,intoxicated,left,0.368934551,1
1,right,intoxicated,left,0.226222432,0
1,right,intoxicated,right,0.471413863,1
1,right,intoxicated,right,0.340930634,1
1,right,intoxicated,right,0.300344996,1
1,right,intoxicated,right,0.231109828,1
1,right,intoxicated,right,0.282887072,1
1,right,intoxicated,right,0.25215221,1
1,right,intoxicated,right,0.339727415,1
1,right,intoxicated,right,0.192492154,1
1,left,intoxicated,right,0.255755637,0
1,left,intoxicated,left,0.213057176,1
1,left,intoxicated,left,0.312389135,1
1,right,intoxicated,right,0.384404709,1
1,left,intoxicated,left,0.240382305,1
1,left,intoxicated,left,0.233779297,1
1,right,intoxicated,right,0.433839931,1
1,left,intoxicated,left,0.421922699,1
1,left,intoxicated,right,0.188433851,0
1,right,intoxicated,right,0.309703861,1
1,right,intoxicated,right,0.298923426,1
1,left,intoxicated,right,0.286374991,0
1,left,intoxicated,left,0.336007931,1
1,right,intoxicated,right,0.341297102,1
1,left,intoxicated,right,0.184590873,0
1,right,intoxicated,right,0.292661756,1
1,right,intoxicated,right,0.189987039,1
1,left,intoxicated,left,0.188472441,1
1,left,intoxicated,left,0.336556625,1
1,left,intoxicated,left,0.248311154,1
1,left,intoxicated,left,0.257911894,1
1,right,intoxicated,left,0.416633053,0
1,right,intoxicated,right,0.303255504,1
1,right,intoxicated,right,0.231230678,1
1,right,intoxicated,right,0.318449361,1
1,right,intoxicated,right,0.283396171,1
1,left,intoxicated,left,0.284998509,1
1,left,intoxicated,left,0.278098683,1
1,left,intoxicated,right,0.338117836,0
1,right,intoxicated,right,0.213964968,1
1,left,intoxicated,left,0.225178467,1
1,left,intoxicated,left,0.278124165,1
1,left,intoxicated,left,0.194066559,1
1,left,intoxicated,left,0.288577908,1
1,left,intoxicated,left,0.308764015,1
1,right,intoxicated,left,0.318197931,0
1,left,intoxicated,right,0.220570057,0
1,right,intoxicated,right,0.195440405,1
1,left,intoxicated,left,0.436739347,1
1,left,intoxicated,left,0.187064937,1
1,left,intoxicated,left,0.331936582,1
1,right,intoxicated,left,0.287087429,0
1,left,intoxicated,left,0.192131032,1
1,right,intoxicated,left,0.239770925,0
1,left,intoxicated,left,0.238609848,1
1,right,intoxicated,right,0.200180445,1
1,right,intoxicated,right,0.227247013,1
1,right,intoxicated,right,0.216708942,1
1,right,intoxicated,right,0.268965882,1
1,left,intoxicated,left,0.267982634,1
1,left,intoxicated,left,0.23610475,1
1,left,intoxicated,left,0.255351132,1
1,left,intoxicated,left,0.301740483,1
1,left,intoxicated,left,0.558644332,1
1,left,intoxicated,left,0.387810238,1
1,left,intoxicated,right,0.244435234,0
1,right,intoxicated,right,0.372461187,1
1,right,intoxicated,left,0.257672107,0
1,left,intoxicated,left,0.203718788,1
1,right,intoxicated,left,0.316959714,0
1,left,intoxicated,left,0.19717595,1
1,right,intoxicated,left,0.193828766,0
1,left,intoxicated,right,0.197443236,0
1,right,intoxicated,left,0.20863,0
1,left,intoxicated,right,0.365314199,0
1,right,intoxicated,right,0.23668671,1
1,right,intoxicated,left,0.205909984,0
1,left,intoxicated,left,0.258961487,1
1,right,intoxicated,right,0.373081109,1
1,left,intoxicated,left,0.222753265,1
1,right,intoxicated,right,0.20112312,1
1,right,intoxicated,right,0.315631285,1
1,left,intoxicated,right,0.322069578,0
1,right,intoxicated,right,0.22289099,1
1,right,intoxicated,right,0.269170959,1
1,left,intoxicated,left,0.310003376,1
1,right,intoxicated,right,0.341110511,1
1,right,intoxicated,right,0.183947262,1
1,right,intoxicated,right,0.300379555,1
1,right,intoxicated,right,0.223079703,1
1,right,intoxicated,right,0.441496569,1
1,left,intoxicated,left,0.199501074,1
1,right,intoxicated,left,0.198283549,0
1,left,intoxicated,left,0.201988742,1
1,right,intoxicated,right,0.308232528,1
1,right,intoxicated,right,0.334827461,1
1,right,intoxicated,right,0.258682292,1
1,right,intoxicated,right,0.368965555,1
1,right,intoxicated,right,0.208248877,1
1,left,intoxicated,right,0.197682264,0
1,right,intoxicated,right,0.280456773,1
1,right,intoxicated,right,0.236160555,1
1,right,intoxicated,left,0.249229904,0
1,left,intoxicated,left,0.36683358,1
1,right,intoxicated,right,0.462815824,1
1,right,intoxicated,right,0.343029041,1
1,left,intoxicated,left,0.253789196,1
1,left,intoxicated,left,0.222178245,1
1,left,intoxicated,left,0.25923959,1
1,left,intoxicated,left,0.199220191,1
1,left,intoxicated,left,0.209397274,1
1,left,intoxicated,left,0.269418078,1
1,left,intoxicated,left,0.214104501,1
1,left,intoxicated,left,0.303420819,1
1,right,intoxicated,left,0.192088613,0
1,left,intoxicated,left,0.247896145,1
1,right,intoxicated,left,0.205259624,0
1,left,intoxicated,left,0.267085938,1
1,left,intoxicated,left,0.293404201,1
1,left,intoxicated,right,0.349534451,0
1,left,intoxicated,left,0.596369176,1
1,right,intoxicated,left,0.217380722,0
1,right,intoxicated,right,0.460246658,1
1,right,intoxicated,left,0.297709661,0
1,right,intoxicated,right,0.235684916,1
1,right,intoxicated,right,0.332025033,1
1,right,intoxicated,right,0.212368637,1
1,left,intoxicated,left,0.205657524,1
1,right,intoxicated,right,0.202935041,1
1,left,intoxicated,right,0.422757907,0
1,left,intoxicated,left,0.347800464,1
1,right,intoxicated,right,0.213598855,1
1,right,intoxicated,right,0.267439122,1
1,right,intoxicated,right,0.308674065,1
1,left,intoxicated,left,0.197499517,1
1,left,intoxicated,right,0.225894106,0
1,left,intoxicated,left,0.300712533,1
1,right,intoxicated,right,0.375232313,1
1,right,intoxicated,left,0.265944451,0
1,left,intoxicated,left,0.195716135,1
1,right,intoxicated,left,0.309700912,0
2,left,intoxicated,left,0.394927749,1
2,left,intoxicated,left,0.485577777,1
2,left,intoxicated,left,0.407772489,1
2,right,intoxicated,left,0.481946648,0
2,right,intoxicated,right,0.372189574,1
2,left,intoxicated,left,0.381399117,1
2,left,intoxicated,left,0.413130269,1
2,left,intoxicated,left,0.363543835,1
2,left,intoxicated,left,0.42112988,1
2,left,intoxicated,right,0.673264507,0
2,left,intoxicated,left,0.372503028,1
2,right,intoxicated,left,0.451294981,0
2,left,intoxicated,left,0.515765951,1
2,left,intoxicated,left,0.392109387,1
2,right,intoxicated,right,0.476654693,1
2,left,intoxicated,left,0.408804327,1
2,right,intoxicated,left,0.545664723,0
2,right,intoxicated,right,0.458166991,1
2,left,intoxicated,left,0.508309634,1
2,right,intoxicated,right,0.468535748,1
2,right,intoxicated,right,0.488360375,1
2,left,intoxicated,left,0.482192232,1
2,right,intoxicated,right,0.46474169,1
2,right,intoxicated,left,0.509364607,0
2,left,intoxicated,right,0.50351528,0
2,left,intoxicated,right,0.403954484,0
2,right,intoxicated,left,0.363658286,0
2,right,intoxicated,left,0.368937693,0
2,right,intoxicated,left,0.699013773,0
2,right,intoxicated,right,0.551701351,1
2,right,intoxicated,right,0.612462302,1
2,left,intoxicated,left,0.346819358,1
2,right,intoxicated,left,0.381959585,0
2,right,intoxicated,left,0.556883226,0
2,right,intoxicated,right,0.575333274,1
2,left,intoxicated,left,0.48873811,1
2,right,intoxicated,right,0.379057811,1
2,right,intoxicated,right,0.508396245,1
2,right,intoxicated,right,0.391158145,1
2,left,intoxicated,left,0.622950289,1
2,left,intoxicated,left,0.347525961,1
2,left,intoxicated,right,0.587510452,0
2,left,intoxicated,left,0.679746093,1
2,left,intoxicated,left,0.420246347,1
2,left,intoxicated,left,0.382619747,1
2,right,intoxicated,right,0.378182703,1
2,left,intoxicated,left,0.435855395,1
2,left,intoxicated,right,0.369262203,0
2,right,intoxicated,right,0.445753937,1
2,right,intoxicated,left,0.604865106,0
2,left,intoxicated,right,0.391934364,0
2,right,intoxicated,right,0.368294314,1
2,right,intoxicated,right,0.577448939,1
2,left,intoxicated,left,0.502129725,1
2,left,intoxicated,left,0.502694235,1
2,left,intoxicated,left,0.412997039,1
2,right,intoxicated,right,0.603933641,1
2,left,intoxicated,left,0.479292667,1
2,left,intoxicated,left,0.474075025,1
2,right,intoxicated,right,0.358011193,1
2,right,intoxicated,left,0.393127309,0
2,left,intoxicated,right,0.469754769,0
2,left,intoxicated,left,0.378578352,1
2,left,intoxicated,left,0.422478768,1
2,left,intoxicated,left,0.457483173,1
2,right,intoxicated,left,0.431403264,0
2,left,intoxicated,right,0.564633515,0
2,left,intoxicated,right,0.372703609,0
2,right,intoxicated,right,0.38158647,1
2,right,intoxicated,left,0.458312379,0
2,left,intoxicated,right,0.429135368,0
2,left,intoxicated,right,0.377760901,0
2,left,intoxicated,left,0.501497946,1
2,left,intoxicated,right,0.394983899,0
2,left,intoxicated,right,0.384596828,0
2,left,intoxicated,left,0.450656723,1
2,left,intoxicated,right,0.475412848,0
2,left,intoxicated,right,0.65944533,0
2,right,intoxicated,right,0.399673733,1
2,left,intoxicated,left,0.46575168,1
2,left,intoxicated,left,0.375994114,1
2,right,intoxicated,left,0.462309519,0
2,right,intoxicated,left,0.368145133,0
2,right,intoxicated,right,0.409361104,1
2,right,intoxicated,right,0.415275563,1
2,right,intoxicated,right,0.413801129,1
2,right,intoxicated,right,0.51406954,1
2,left,intoxicated,right,0.413658099,0
2,left,intoxicated,left,0.351877066,1
2,right,intoxicated,right,0.507321915,1
2,right,intoxicated,right,0.640598531,1
2,right,intoxicated,right,0.425683963,1
2,left,intoxicated,left,0.360001452,1
2,right,intoxicated,left,0.404569973,0
2,right,intoxicated,right,0.488789723,1
2,left,intoxicated,left,0.5001062,1
2,left,intoxicated,right,0.407058257,0
2,left,intoxicated,right,0.468579325,0
2,right,intoxicated,right,0.694091754,1
2,right,intoxicated,right,0.463335735,1
2,right,intoxicated,right,0.661295592,1
2,left,intoxicated,left,0.361120762,1
2,right,intoxicated,left,0.383817462,0
2,left,intoxicated,right,0.620050293,0
2,left,intoxicated,right,0.514338202,0
2,right,intoxicated,right,0.450018617,1
2,right,intoxicated,right,0.37974147,1
2,left,intoxicated,left,0.432990591,1
2,right,intoxicated,left,0.376425379,0
2,right,intoxicated,right,0.587440896,1
2,right,intoxicated,right,0.422947271,1
2,left,intoxicated,left,0.422994886,1
2,left,intoxicated,left,0.499290053,1
2,right,intoxicated,left,0.357864365,0
2,right,intoxicated,right,0.453479887,1
2,left,intoxicated,left,0.462059395,1
2,right,intoxicated,left,0.573071673,0
2,right,intoxicated,right,0.415022974,1
2,right,intoxicated,left,0.369571876,0
2,right,intoxicated,right,0.393185164,1
2,left,intoxicated,right,0.372323906,0
2,left,intoxicated,right,0.468305489,0
2,right,intoxicated,right,0.460010668,1
2,left,intoxicated,right,0.63417676,0
2,right,intoxicated,right,0.367288897,1
2,left,intoxicated,right,0.561688362,0
2,right,intoxicated,right,0.36594706,1
2,right,intoxicated,right,0.354591549,1
2,right,intoxicated,right,0.435972054,1
2,right,intoxicated,left,0.417025657,0
2,left,intoxicated,left,0.381268255,1
2,right,intoxicated,left,0.380719892,0
2,left,intoxicated,right,0.463766814,0
2,left,intoxicated,left,0.396268521,1
2,left,intoxicated,left,0.635411908,1
2,right,intoxicated,right,0.706424587,1
2,right,intoxicated,right,0.698399209,1
2,left,intoxicated,right,0.705743288,0
2,left,intoxicated,left,0.388711882,1
2,right,intoxicated,right,0.374291749,1
2,right,intoxicated,left,0.505306934,0
2,left,intoxicated,left,0.564876157,1
2,right,intoxicated,left,0.385580718,0
2,left,intoxicated,left,0.498411982,1
2,right,intoxicated,left,0.367923417,0
2,right,intoxicated,left,0.503953031,0
2,right,intoxicated,left,0.452835188,0
2,right,intoxicated,right,0.37162279,1
2,left,intoxicated,right,0.605983573,0
2,right,intoxicated,right,0.516689285,1
2,left,intoxicated,right,0.37707769,0
2,right,intoxicated,left,0.563471986,0
2,right,intoxicated,left,0.357175878,0
2,left,intoxicated,right,0.449365413,0
2,left,intoxicated,left,0.423123443,1
2,right,intoxicated,left,0.737970696,0
2,left,intoxicated,left,0.36092872,1
2,right,intoxicated,left,0.400464312,0
2,right,intoxicated,right,0.39194703,1
2,left,intoxicated,left,0.574230257,1
2,left,intoxicated,left,0.549544545,1
2,right,intoxicated,left,0.457996531,0
2,left,intoxicated,right,0.356098489,0
2,right,intoxicated,right,0.428863671,1
2,right,intoxicated,left,0.758121821,0
2,left,intoxicated,right,0.402886143,0
2,right,intoxicated,right,0.82564853,1
2,left,intoxicated,left,0.492714709,1
2,right,intoxicated,right,0.405512318,1
2,left,intoxicated,left,0.450357512,1
2,right,intoxicated,right,0.434471947,1
2,left,intoxicated,left,0.393639323,1
2,left,intoxicated,left,0.406581791,1
2,left,intoxicated,left,0.738231969,1
2,right,intoxicated,right,0.55492983,1
2,left,intoxicated,left,0.369455109,1
2,right,intoxicated,right,0.429752897,1
2,right,intoxicated,left,0.376192584,0
2,left,intoxicated,right,0.519323987,0
2,right,intoxicated,left,0.386004014,0
2,left,intoxicated,left,0.385677964,1
2,right,intoxicated,right,0.456935385,1
2,left,intoxicated,right,0.360319011,0
2,left,intoxicated,right,0.377733546,0
2,left,intoxicated,left,0.406972468,1
2,right,intoxicated,right,0.459899142,1
2,left,intoxicated,right,0.395702416,0
2,left,intoxicated,right,0.608046653,0
2,right,intoxicated,right,0.402065344,1
2,right,intoxicated,left,0.353624321,0
2,left,intoxicated,right,0.367954664,0
2,right,intoxicated,right,0.564268066,1
2,right,intoxicated,left,0.422300997,0
2,left,intoxicated,left,0.605534355,1
2,left,intoxicated,left,0.417085155,1
2,left,intoxicated,left,0.452426333,1
2,left,intoxicated,right,0.398417098,0
2,right,intoxicated,right,0.386111814,1
2,right,intoxicated,right,0.392945066,1
2,right,intoxicated,right,0.442394923,1
2,right,intoxicated,right,0.357020659,1
2,left,intoxicated,left,0.660975563,1
2,left,intoxicated,left,0.381780914,1
2,left,intoxicated,left,0.355178875,1
2,right,intoxicated,right,0.438363782,1
2,right,intoxicated,right,0.434550623,1
2,left,intoxicated,left,0.486290219,1
2,right,intoxicated,left,0.517756139,0
2,right,intoxicated,left,0.500327264,0
2,right,intoxicated,right,0.38390909,1
2,left,intoxicated,left,0.504854037,1
2,left,intoxicated,left,0.415371654,1
2,left,intoxicated,right,0.375105141,0
2,right,intoxicated,right,0.520737084,1
2,right,intoxicated,left,0.427295407,0
2,right,intoxicated,left,0.359178417,0
2,right,intoxicated,right,0.382179568,1
2,right,intoxicated,right,0.522371866,1
2,left,intoxicated,right,0.559798661,0
2,right,intoxicated,right,0.59648901,1
2,left,intoxicated,left,0.585218655,1
2,right,intoxicated,left,0.510321688,0
2,right,intoxicated,right,0.384352898,1
2,left,intoxicated,left,0.410253313,1
2,left,intoxicated,right,0.512781143,0
2,left,intoxicated,left,0.36789542,1
2,left,intoxicated,left,0.510624463,1
2,left,intoxicated,right,0.411962209,0
2,left,intoxicated,right,0.379823658,0
2,right,intoxicated,left,0.431875266,0
3,right,intoxicated,right,0.578375026,1
3,right,intoxicated,right,0.507679109,1
3,left,intoxicated,left,0.622790529,1
3,right,intoxicated,right,0.543414447,1
3,right,intoxicated,left,0.571229918,0
3,right,intoxicated,right,0.515952298,1
3,left,intoxicated,left,0.650485447,1
3,right,intoxicated,left,0.740122343,0
3,right,intoxicated,right,0.583460806,1
3,right,intoxicated,right,0.505152961,1
3,right,intoxicated,right,0.505829127,1
3,right,intoxicated,right,0.551560326,1
3,left,intoxicated,left,0.512981019,1
3,left,intoxicated,right,0.574432684,0
3,right,intoxicated,right,0.593719859,1
3,right,intoxicated,right,0.593051139,1
3,left,intoxicated,left,0.501488858,1
3,right,intoxicated,right,0.569822568,1
3,right,intoxicated,right,0.667717773,1
3,right,intoxicated,right,0.577965629,1
3,right,intoxicated,right,0.551936903,1
3,right,intoxicated,right,0.555845591,1
3,left,intoxicated,left,0.586525587,1
3,right,intoxicated,right,0.512487535,1
3,right,intoxicated,left,0.558330505,0
3,left,intoxicated,left,0.694868337,1
3,right,intoxicated,right,0.545924947,1
3,right,intoxicated,right,0.522467968,1
3,left,intoxicated,left,0.706332881,1
3,right,intoxicated,right,0.576965439,1
3,left,intoxicated,right,0.602073103,0
3,right,intoxicated,right,0.507192261,1
3,right,intoxicated,right,0.539100454,1
3,left,intoxicated,right,0.535700941,0
3,right,intoxicated,left,0.564242766,0
3,right,intoxicated,right,0.529285037,1
3,right,intoxicated,right,0.620605445,1
3,left,intoxicated,left,0.518991673,1
3,left,intoxicated,left,0.564985051,1
3,right,intoxicated,right,0.503292599,1
3,right,intoxicated,right,0.636884023,1
3,right,intoxicated,right,0.622434968,1
3,left,intoxicated,left,0.593435387,1
3,left,intoxicated,left,0.571380133,1
3,left,intoxicated,left,0.495283697,1
3,right,intoxicated,left,0.575342123,0
3,left,intoxicated,left,0.542659734,1
3,left,intoxicated,left,0.557071822,1
3,left,intoxicated,right,0.643278871,0
3,left,intoxicated,left,0.846254457,1
3,left,intoxicated,left,0.802007853,1
3,left,intoxicated,left,0.519710952,1
3,left,intoxicated,right,0.5102803,0
3,left,intoxicated,right,0.607072713,0
3,right,intoxicated,left,0.555605408,0
3,right,intoxicated,right,0.502822386,1
3,right,intoxicated,right,0.514469543,1
3,right,intoxicated,right,0.746164038,1
3,right,intoxicated,left,0.655524485,0
