,subjects,condition,median rt
0,1,hangover,0.259185341
1,1,intoxicated,0.267085938
2,2,intoxicated,0.4324329285
3,2,hangover,0.448870121
4,3,hangover,0.567028503
5,3,intoxicated,0.5574063645
6,4,intoxicated,0.713094287
7,4,hangover,0.7030666615000001
8,5,hangover,0.227795825
9,5,intoxicated,0.232749072
10,6,hangover,0.3647314975
11,6,intoxicated,0.365532236
12,7,hangover,0.2265197315
13,7,intoxicated,0.2154097185
14,8,intoxicated,0.438050971
15,8,hangover,0.434961431
16,9,hangover,0.4185299865
17,9,intoxicated,0.41235386399999996
18,10,hangover,0.39278588049999996
19,10,intoxicated,0.384425668
20,11,hangover,0.393438424
21,11,intoxicated,0.386655616
22,12,hangover,0.45252607749999996
23,12,intoxicated,0.456178105
