subjects,drift,noise,B,tau,IC,overlay
1,-0.749838826,2.808128134,1,0.103630235,0.081054439,0.167523402
2,0.140444703,2.698107906,1,0.01,-0.013645331,0.339782027
3,-0.87303901,3,1,0.626718192,0.030889258,0.487368512
4,1.067896094,1.168104251,1,3,-0.099998183,0.495020124
5,0.770734112,3,1,0.379061489,0.014374276,0.154211352
6,1.388731635,3,1,0.204756751,0.15636554,0.283585396
7,1.151778332,2.732772504,1,0.01,0.03193875,0.122189556
8,2.158332181,2.518380306,1,0.263563722,0.000507888,0.322371267
9,1.595994883,2.35703801,1,0.304364366,0.099843789,0.291820546
10,0.242580127,2.812232101,1,0.01,0.029283765,0.293288064
11,0.608045552,2.548254319,1,0.266735532,0.049092559,0.282350805
12,1.61637979,2.392686108,1,0.777519104,0.01499167,0.336998755
